DEPT;SP;RHOZ;PEFZ;AT90;DTCO;Zones
1880.5;-6.260009766;2.424718142;2.87900424;3.564045191;100.1648789;3
1881;-7.431177139;2.450004578;2.936915159;2.594645977;94.42172241;3
1881.5;-6.651722908;2.435112476;2.739239931;2.299420834;92.1653595;3
1882;-6.064900875;2.401758909;2.540742636;2.079907894;91.44613648;3
1882.5;-8.762126923;2.435447931;2.50937295;1.897840023;89.77259827;3
1883;-20.0243988;2.427682638;2.39286232;4.195584774;84.69406891;3
1883.5;-33.91197968;2.298551321;2.26252389;12.97226906;86.56007385;3
1884;-37.77777863;2.189175606;2.015203714;13.5665741;89.54934692;3
1884.5;-38.21448135;2.210153341;2.108227015;8.224914551;89.40441895;3
1885;-37.05698013;2.251642227;2.242449284;6.694988728;88.00856781;3
1885.5;-34.58862305;2.270451546;2.309168339;5.73281002;86.27357483;3
1886;-29.26319885;2.274082422;2.425737858;5.961458206;83.52423096;3
1886.5;-20.4162941;2.352895021;2.584439755;5.420482159;88.12833405;3
1887;-9.373627663;2.300670862;2.774174213;1.242352247;92.30410004;3
1887.5;-9.433769226;2.357969046;2.864459038;2.116737604;102.8852463;3
1888;-10.08643246;2.362490892;2.997897148;5.52949667;105.6323471;3
1888.5;-10.11010265;2.351223946;2.930018663;4.886835575;104.9037705;3
1889;-9.606393814;2.44732666;3.08459568;10.59745979;98.54788208;3
1889.5;-8.928654671;2.468705654;3.047793865;4.445872784;93.4792099;3
1890;-8.427861214;2.476023912;2.963861704;3.021606207;90.56365204;3
1890.5;-8.564539909;2.458487988;2.927680731;2.584143877;87.5727005;3
1891;-9.508592606;2.409362555;2.867245436;3.239446402;91.68989563;3
1891.5;-10.47077942;2.277157307;2.959292173;3.476943493;102.5517731;3
1892;-11.00548267;2.269335747;2.915204048;5.07900095;111.4566193;3
1892.5;-10.83148098;2.415029049;2.984885454;24.68696404;107.4343185;3
1893;-11.44548988;2.492943287;2.971557617;6.198536396;89.41362763;3
1893.5;-11.15236092;2.471792221;2.883755684;3.210030317;86.55860138;3
1894;-13.02806282;2.480204105;2.659487963;2.84598136;82.77216339;3
1894.5;-15.49735069;2.469455481;2.919896603;4.362356663;80.88535309;3
1895;-17.93280029;2.456677198;2.631902218;4.002889633;80.30648041;3
1895.5;-30.89108467;2.464214325;2.839116097;7.750130653;79.23371887;3
1896;-33.64618301;2.402437449;2.715481043;7.702923298;80.29731751;3
1896.5;-35.02048111;2.332165241;2.45714426;4.862451553;83.15499878;3
1897;-36.52859116;2.340927839;2.456046581;4.770027638;83.35335541;3
1897.5;-34.80127335;2.365525246;2.383156776;4.157773018;82.84998322;3
1898;-34.20331192;2.387076378;2.504860878;4.333621025;81.82100678;3
1898.5;-33.33863068;2.311516285;2.43461895;4.312150478;79.72574616;3
1899;-31.59968758;2.373973608;2.496690035;4.840857983;77.81800079;3
1899.5;-29.04488754;2.413347721;2.515222788;5.673507214;74.46261597;3
1900;-23.69999886;2.571221352;3.018695355;12.88461876;70.16233826;3
1900.5;-13.76288891;2.623016834;3.047852278;14.90486908;95.69895935;3
1901;-5.51450491;2.196806431;2.71580863;3.968570948;111.3145905;3
1901.5;-4.545484543;2.113944292;2.727006435;4.71087122;119.7679443;3
1902;-4.294025421;2.173232555;2.852301359;7.041665077;120.0676956;3
1902.5;-4.067161083;2.220334292;2.887530804;9.6083498;118.3652649;3
1903;-5.010938168;2.300069809;3.136178255;5.919873714;109.9044876;3
1903.5;-4.967579842;2.334797621;3.06393528;3.648001671;105.5127258;3
1904;-4.147565365;2.338117123;2.893931389;2.801461935;103.2470932;3
1904.5;-3.370688915;2.379932404;2.899434328;2.608676195;100.9316635;3
1905;-3.010430098;2.403820038;2.944030047;2.29576993;97.12931061;3
1905.5;-3.41749382;2.38127017;2.958399057;2.003255606;95.02876282;3
1906;-4.031116486;2.223141909;2.780836821;1.84646368;99.22039795;3
1906.5;-3.992364168;2.166051149;2.819206715;2.744459629;105.1287613;4
1907;-4.265176296;2.234718561;2.910295487;4.68594408;109.2534638;4
1907.5;-4.007651329;2.241535902;2.7918818;3.355288506;110.9445648;4
1908;-2.554381609;2.292501926;2.700186491;1.339311123;110.3731613;4
1908.5;-2.316617012;2.217802048;2.680119753;0.978780747;110.6346359;4
1909;-3.128503561;2.237300873;2.710350275;0.833574534;113.3050385;4
1909.5;-5.206961155;2.261658907;2.599174976;1.162863493;112.7342758;4
1910;-5.405036449;2.320402861;2.608923197;1.471752048;108.4339523;4
1910.5;-5.465900898;2.392205;2.951369047;1.356276751;100.7795792;4
1911;-6.323139668;2.430089712;2.981357575;1.484981656;91.1574173;4
1911.5;-5.820107937;2.42653203;2.84472537;1.773596287;91.4320755;4
1912;-3.799211264;2.393117905;2.666435242;1.312444568;92.46061707;4
1912.5;-5.056323051;2.388440847;2.707007647;1.574998975;92.05791473;4
1913;-4.515017509;2.386367559;2.904764891;1.461666942;91.22435761;4
1913.5;-4.566811562;2.334253073;2.792554855;1.278234482;97.53296661;4
1914;-3.850513458;2.34556818;2.849878073;1.081159949;99.9486618;4
1914.5;-3.849887133;2.379429817;2.95593977;1.196653128;99.74825287;4
1915;-4.046001911;2.374949932;2.875517845;1.175196171;96.75733948;4
1915.5;-5.640243053;2.403191567;2.79827404;1.162238836;94.60031891;4
1916;-8.44498539;2.401954651;2.684981346;1.370845318;92.21994782;4
1916.5;-22.20077133;2.254839897;2.444700003;5.219597817;93.5984726;4
1917;-26.33687019;2.16294837;2.256341696;6.689906597;93.49101257;4
1917.5;-26.69317055;2.163519859;2.297414541;6.019785404;92.46669769;4
1918;-26.75540733;2.174612522;2.28718257;5.778624058;91.28022766;4
1918.5;-26.8273716;2.191996574;2.355140209;6.814834595;92.03527832;4
1919;-27.69664955;2.180783033;2.295249462;6.005097389;94.1809082;4
1919.5;-28.67099571;2.189275503;2.243777275;5.527151108;95.01417542;4
1920;-28.05163765;2.197016478;2.180545092;5.825483322;92.53591919;4
1920.5;-26.73756599;2.236091375;2.204683542;5.918899059;90.38595581;4
1921;-27.67642403;2.245620728;2.353453875;5.787323952;89.1882019;4
