DEPTH,GR,SP,RES,zonas,VSH_Linear,VSH_Clavier,VSH_Resistividad,VSH_Promedio
2073.0,84.06,-0.22,3.27,Zona 4,0.5094191285416229,0.3153320356426159,0.5857166655308318,0.47015594323835685
2074.0,86.41,-2.23,2.41,Zona 4,0.6515376009192343,0.4536669332391601,0.7652408334592445,0.6234817892058797
2075.0,82.91,0.39,2.3,Zona 4,0.43987179099513163,0.25753949790867714,0.792724296897832,0.4967118619338802
2076.0,81.94,-0.38,2.53,Zona 4,0.3812101236733089,0.21306198230513052,0.7366543689802667,0.4436421583195687
2077.0,80.34,-0.82,2.9,Zona 4,0.28444861056514803,0.14730526723494375,0.6563579631226468,0.3627039469742462
2078.0,76.71,-2.56,4.56,Zona 4,0.06492092770100667,0.028205761953633335,0.39009138063703114,0.16107269009722372
2079.0,84.62,-2.96,3.02,Zona 4,0.5432856581294794,0.34565854663990025,0.6325051428394682,0.5071497825362826
2080.0,81.43,0.0,2.34,Zona 4,0.3503673913700831,0.19111685570207038,0.7825811322753735,0.4413551264491757
2081.0,81.11,-0.99,2.46,Zona 4,0.3310150887484504,0.17782790500777312,0.7531605532511259,0.4206678490024498
2082.0,84.29,-0.04,2.48,Zona 4,0.5233285960509213,0.32760532422918454,0.7483970537486757,0.5331103246762605
2083.0,84.14,-2.29,2.45,Zona 4,0.5142572041970308,0.3195727320660424,0.7555568456654139,0.5297955939761624
2084.0,86.32,-1.12,2.07,Zona 4,0.6460947658069001,0.4477904003453468,0.8547067265860379,0.6495306309127615
2085.0,88.45,-5.58,2.12,Zona 4,0.7749085301321402,0.6024368684474455,0.8406657504301666,0.7393370496699174
2086.0,80.93,-8.69,3.42,Zona 4,0.32012941852378274,0.17051120649338225,0.5593315719645814,0.3499907323272488
2087.0,81.09,0.33,3.8,Zona 4,0.32980556983459863,0.1770093603906695,0.4973491422763755,0.3347213575005479
2088.0,80.96,-3.95,2.94,Zona 4,0.3219436968945599,0.17172283914942965,0.6482990840260697,0.38065520669001973
2089.0,91.06,-6.03,2.23,Zona 4,0.9327507483898283,0.8549408342414977,0.8109068604101664,0.8661994810138308
2090.0,87.3,-2.25,2.23,Zona 4,0.705361192585649,0.5146899484209868,0.8109068604101664,0.6769860004722674
2091.0,82.8,1.38,2.37,Zona 4,0.43321943696894555,0.2523074540235464,0.7750869038671707,0.4868712649532208
2092.0,86.79,-7.25,2.72,Zona 4,0.6745184602824232,0.47905814948342584,0.6940548479959888,0.6158771525872794
2093.0,80.98,-1.95,2.72,Zona 4,0.3231532158084126,0.17253232538920704,0.6940548479959888,0.3965801297312028
2094.0,85.26,-12.36,2.78,Zona 4,0.581990263372744,0.3822363775633042,0.6812189429839635,0.5484818613066705
2095.0,78.02,-8.78,4.45,Zona 4,0.1441444165583138,0.06677613169736474,0.4044565310446217,0.2051256931001001
2096.0,82.32,-8.81,5.43,Zona 4,0.404190983036497,0.2300468466713319,0.28736641282623027,0.3072014141780197
2097.0,75.04,-6.84,4.95,Zona 4,0.0,0.0,0.3418134735786245,0.11393782452620817
2098.0,83.45,0.0,2.09,Zona 4,0.4725288016691364,0.2839575538648782,0.8490500582503061,0.5351788045947736
2099.0,78.47,-7.85,2.94,Zona 4,0.17135859211998433,0.08113181390865587,0.6482990840260697,0.30026316335157
2100.0,80.53,-12.66,3.95,Zona 4,0.29593904024674206,0.15465038644570828,0.4745738216150192,0.3083877494358232
2101.0,85.99,-12.3,3.45,Zona 4,0.6261377037283419,0.42667412232762647,0.5541936443338862,0.5356684901299514
2102.0,81.65,-17.81,4.85,Zona 4,0.3636720994224552,0.20046618413914152,0.35381978773719575,0.30598602376626416
2103.0,79.33,-13.43,7.0,Zona 4,0.22336790541562096,0.11022274791454856,0.1379580648452032,0.15718290605845756
2104.0,82.03,-6.34,3.83,Zona 4,0.3866529587856432,0.2170349474237745,0.4927229928200196,0.3654702996764791
2105.0,86.79,-7.27,3.23,Zona 4,0.6745184602824232,0.47905814948342584,0.592957236615178,0.5821779487936757
2106.0,82.35,-11.93,3.56,Zona 4,0.40600526140727505,0.2314114389185018,0.535729421969223,0.39104870743166664
2107.0,85.53,-1.21,2.53,Zona 4,0.5983187687097459,0.3983209401638168,0.7366543689802667,0.5777646926179432
2108.0,85.07,-1.53,2.78,Zona 4,0.5704998336911491,0.37115457159579224,0.6812189429839635,0.5409577827569683
